FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc
133,E01004309,Tower Hamlets 015D,2.925629848,1.450609046,2.033246626,0.495625
134,E01004310,Tower Hamlets 015E,5.760896571,1.492512028,3.859680923,0.482689076
135,E01004311,Tower Hamlets 006A,2.004983459,1.784704408,1.137608499,0.526582278
136,E01004315,Tower Hamlets 006C,2.675573189,1.726664323,1.553579677,0.515529412
137,E01004316,Tower Hamlets 009C,4.453189229,1.691233604,2.645349725,0.521052632
138,E01004319,Tower Hamlets 021A,2.254043415,1.445754031,1.569985074,0.477111111
139,E01004321,Tower Hamlets 021C,3.171168899,1.39354402,2.273164643,0.480625
140,E01004322,Tower Hamlets 017A,1.979374928,1.475706914,1.348664566,0.506571429
141,E01004326,Tower Hamlets 017D,2.218921971,1.389231258,1.607841847,0.5171875
142,E01004657,Westminster 012A,1.672855072,1.201730365,1.391988081,0.509444444
143,E01004658,Westminster 012B,1.795641159,1.181524874,1.515579326,0.518125
144,E01004659,Westminster 008A,0.926614402,1.524048909,0.610149717,0.496486486
145,E01004660,Westminster 008B,0.93096683,1.279200408,0.733540492,0.529
146,E01004661,Westminster 012C,1.298729368,1.255693254,1.038952273,0.505
147,E01004662,Westminster 012D,1.194745186,1.219936873,0.994336056,0.504222222
148,E01004663,Westminster 012E,1.259952742,1.171137036,1.076133696,0.512738095
149,E01004665,Westminster 024A,0.846216393,1.358033948,0.621844482,0.524117647
150,E01004668,Westminster 023D,0.494888671,1.297668423,0.386222257,0.489
151,E01004669,Westminster 024B,0.811524898,1.42711854,0.568902497,0.532033898
152,E01004670,Westminster 009A,0.850734226,1.644766372,0.513291614,0.5175
153,E01004680,Westminster 015A,1.086460929,1.055329195,0.980214202,0.522962963
154,E01004681,Westminster 016A,0.519088237,1.190672881,0.485328655,0.478943662
155,E01004682,Westminster 016B,1.547718226,0.75080696,2.015336455,0.515662651
156,E01004683,Westminster 015B,0.904528691,0.843786567,1.077700039,0.537628866
157,E01004684,Westminster 015C,1.735196407,1.037469887,1.678698897,0.543921569
158,E01004686,Westminster 015E,1.095548816,1.033615387,1.036893552,0.561428571
159,E01004687,Westminster 019A,1.081849715,1.212995631,0.90232208,0.514795918
160,E01004690,Westminster 019D,0.875500402,1.379052309,0.64756673,0.546518519
161,E01004691,Westminster 019E,0.977190497,1.361948195,0.709305708,0.533954802
162,E01004692,Westminster 019F,0.474814174,1.421349801,0.336590516,0.54125
163,E01004693,Westminster 017B,0.731956952,0.876020582,0.826387281,0.487592593
164,E01004694,Westminster 016C,0.783614398,0.632475916,1.212192942,0.505102041
165,E01004695,Westminster 017C,0.621625123,0.637785485,0.987916189,0.495757576
166,E01004696,Westminster 017D,0.30191651,0.903779458,0.344961612,0.564848485
167,E01004697,Westminster 016D,0.521426831,0.760457175,0.703336021,0.545517241
168,E01004698,Westminster 017E,0.791340129,0.606398155,1.317311166,0.5440625
169,E01004699,Westminster 017F,0.937246928,0.799611316,1.171222343,0.498181818
170,E01004700,Westminster 016E,0.77067765,0.678566291,1.129291682,0.535294118
171,E01004702,Westminster 009E,1.41363852,1.596046087,0.881318003,0.520314961
172,E01004703,Westminster 007B,0.70682311,1.698513168,0.414525704,0.5256
173,E01004712,Westminster 008C,2.065391439,1.203530876,1.733526801,0.504719101
174,E01004713,Westminster 011A,1.451853468,1.251842202,1.16378233,0.494017094
175,E01004714,Westminster 011B,2.92644656,1.198303982,2.439503374,0.51796748
176,E01004715,Westminster 013A,2.153349912,1.36623117,1.572515922,0.540754717
177,E01004716,Westminster 011C,0.971093515,1.320354423,0.741712577,0.526240602
178,E01004717,Westminster 011D,2.228281681,1.196012887,1.881978719,0.510465116
179,E01004724,Westminster 001C,0.524053243,1.26645313,0.412107138,0.533095238
180,E01004725,Westminster 003B,0.549442596,1.449032186,0.382741516,0.507857143
181,E01004727,Westminster 008D,0.440651741,1.25135274,0.349175421,0.559242054
182,E01004730,Westminster 001D,1.184408287,1.155259394,1.024648095,0.533475177
183,E01004731,Westminster 020A,1.251260871,1.506957545,0.825866029,0.520606061
184,E01004732,Westminster 020B,1.495572933,1.546967377,0.96819122,0.488072289
185,E01004733,Westminster 020C,1.152795854,1.489054888,0.767432695,0.530933333
186,E01004734,Westminster 018A,6.048878555,1.427551661,4.265917249,0.495852273
187,E01004735,Westminster 018B,4.552069864,1.495000514,3.117796987,0.492284866
188,E01004736,Westminster 018C,1.602599292,1.431841712,1.141121225,0.529275766
189,E01004737,Westminster 024C,0.694039782,1.446875672,0.481707444,0.530695652
190,E01004740,Westminster 021A,2.616899768,1.412814497,1.862003624,0.51047619
191,E01004741,Westminster 024F,1.110102023,1.475036082,0.753568382,0.517560976
192,E01004742,Westminster 022A,1.412877626,1.443305965,0.986093912,0.521111111
193,E01004743,Westminster 021B,1.022970057,1.52380338,0.670104163,0.540512821
194,E01004744,Westminster 020D,2.139171053,1.489664499,1.451533529,0.504945055
195,E01004746,Westminster 021D,0.90138539,1.499300146,0.60083021,0.512424242
