FID,accessibility,WDI,HSA
375,3.2616278870000004,1.741410148,5.679783336
376,2.1416195748333333,1.7672497493333335,3.7843287223333335
377,2.34260327475,1.77718697525,4.163595540625
378,1.026181469,1.791639141,1.838546884
379,1.177834922,1.796423396,2.11589021
380,1.1287020795,1.815218095,2.0488404395
381,0.9324757495,1.795621233,1.6753656795
382,1.202926913,1.823547407,2.193594254
383,1.2991561615,1.7945145735,2.331302734
384,1.2689304488333333,1.7809126395000001,2.2597805715
385,1.4254776071666668,1.7837055111666666,2.5423625839999997
386,1.584067564,1.767981277,2.800601795
387,1.387878468,1.76279962425,2.44652887075
388,0.717224713,1.759011291,1.261606369
389,0.516206333,1.814509633,0.936661364
390,0.651469009,1.787721798,1.164645348
391,0.474649801,1.83337805,0.870212526
392,0.633302068,1.770973669,1.121561287
393,0.421059399,1.832355955,0.771530696
394,0.303049028,1.0744235359999998,0.3255586795
395,0.381299619,1.096845731,0.41822686
396,0.352404568,1.129912434,0.398186303
397,0.35950071299999997,1.038231289,0.373256525
398,0.35714804,1.046437222,0.373733003
399,0.304244535,1.039124306,0.316147892
400,0.433861552,1.048977489,0.455111001
401,0.496761995,1.071057647,0.532060734
402,0.4855688105,1.107930944,0.5376170284999999
403,0.503831486,1.1427622001666666,0.577315303
404,0.488595481,1.079413284,0.527396453
405,1.2490243890000001,1.104575766,1.379142959
406,1.442176093,1.072467121,1.54668644325
407,1.4542379413333333,1.093697175,1.5909489836666666
408,0.449724819,1.058236936,0.475915414
409,0.487166305,1.057770913,0.515310348
410,0.557003499,1.009546167,0.562320747
411,0.626938648,1.002509673,0.628512059
412,0.626502573,1.011581642,0.633758502
413,0.473795772,1.0146679845,0.480857432
414,0.895363178,1.0651147545000001,0.9581329059999999
415,0.785309039,1.29666635175,1.01818123225
416,1.3461847715,1.1721159775,1.5786830911666667
417,1.48612772,1.193353412,1.7734755844999999
418,1.189497086125,1.233927523875,1.46007824
419,1.484726566,1.1554455178333334,1.7156714688333334
420,1.5253472553333334,1.126782513,1.718717788
421,0.364570682,1.117092482,0.407259168
422,0.318142522,1.081540326,0.344083966
423,0.254256912,1.2822313015,0.325979463
424,0.376667103,1.207601789,0.454863868
425,0.3551024,1.07012402,0.380003608
426,0.342150822,1.081078047,0.369891742
427,0.421715899,1.015123708,0.428111796
428,0.419095659,1.0461605205,0.43797036050000004
429,0.448403959,1.024332183,0.459314606
430,0.5001914945,1.0576406165,0.53021773
431,0.6848060659999999,1.2425641045,0.8520388585
432,0.142506728,1.588294206,0.226342611
433,0.1853825965,1.6356965095,0.3035988855
434,0.129740813,1.625152819,0.210848649
435,0.112617611,1.632981931,0.183902523
436,0.109636206,1.632918567,0.179026997
437,0.102194509,1.651921439,0.1688173
438,0.120983476,1.632286976,0.197479752
439,0.11648384,1.62120115,0.188843736
440,0.104429648,1.665057707,0.17388139
441,0.115400143,1.62948921,0.188043288
442,0.101382636,1.649839317,0.16726506
443,0.117928382,1.615544543,0.190518555
444,0.16366413,1.619304056,0.26502199
445,0.11103142,1.635428273,0.181583924
446,0.175752903,1.61885584,0.284518614
447,0.240018509,1.588299029,0.381221165
448,0.125658435,1.664005451,0.20909632
449,0.109110968,1.630409125,0.177895517
450,0.103966218,1.636728125,0.170164434
451,0.108014851,1.579063718,0.170562332
452,0.149200096,1.632806943,0.243614953
453,0.164980056,1.632806943,0.26938058
454,0.166908954,1.620337687,0.270448869
455,0.173123623,1.616153103,0.27979428
456,0.191060539,1.628813546,0.311201994
457,0.196862312,1.599512154,0.31488366
458,1.5476371355,1.730623987,2.678365928
