FID,accessibility,WDI,HSA
305,1.768937188,1.168614049,2.067204849
305,1.790065717,1.216487514,2.177592594
305,1.772599746,1.168614049,2.071484965
305,1.76733067,1.168614049,2.065327449
306,1.687216043,1.212116031,2.045101613
306,1.688044987,1.212116031,2.04610639
306,1.644132822,1.199439631,1.972038065
306,1.684370934,1.199439631,2.020301252
307,1.633892073,1.263309406,2.064111224
307,1.648280774,1.224453699,2.01824349
308,1.573347407,1.308822586,2.059232622
308,1.574643963,1.308822586,2.060929584
308,1.600220803,1.282830617,2.05281224
308,1.545224869,1.289008686,1.991808278
308,1.534992136,1.322413991,2.029895077
308,1.537019393,1.322413991,2.032575949
308,1.482780968,1.322413991,1.960850298
308,1.472398691,1.320116341,1.943737572
309,1.318280499,1.344600533,1.772560663
309,1.314543008,1.340666517,1.762363796
309,1.333404347,1.309976672,1.746728589
309,1.464996413,1.309976672,1.919111126
309,1.418168689,1.309976672,1.857767899
309,1.586595385,1.303986141,2.068898393
310,1.048417662,1.475128448,1.546550719
310,0.91819522,1.386760623,1.273316974
311,0.558539438,1.532283577,0.855840808
311,1.072914706,1.448159649,1.553751785
311,0.531072092,1.639800057,0.870852046
