FID,OBJECTID,grid_id,borough,laei_zone,Area,CO2_km2,NOx_km2,PM10_km2,PM25_km2,score_perc,accessibility,WDI,HSA
64,3397,3397,Lambeth,Central,0.639857881,52919.54993,154.0985975,17.3278416,9.299011891,0.507566138,0.61658019,1.57270201,0.975839402
69,3402,3402,Tower Hamlets,Inner,0.43160598,47645.15086,143.5410113,16.21669989,8.830334461,0.49693038,2.040172633,1.684166942,3.371262772
2,2834,2834,City of Westminster,Inner,0.99949226,41979.90017,139.6413633,13.46529611,7.34966146,0.558276762,0.616133303,0.774570084,0.421120386
15,3148,3148,Kensington and Chelsea,Inner,0.033332594,43883.72673,138.0495655,15.98440334,9.331433459,0.508888889,1.003201228,1.241322393,1.284163625
16,3169,3169,Wandsworth,Inner,0.764619734,45530.73703,136.9936888,14.07577107,7.381334804,0.531036789,0.306194898,1.260186736,0.377124979
51,3384,3384,Islington,Central,0.063781127,46179.38564,126.3910458,12.73418439,6.896837781,0.580416667,1.370905203,1.71180709,2.34278799
60,3393,3393,Hackney,Central,0.154243233,38463.89504,122.2244421,12.15930743,6.944974319,0.482195122,1.824246186,1.571385852,2.883498166
92,3425,3425,Hackney,Central,0.016685619,34607.13134,120.1715668,8.630356275,5.326789177,0.485,1.243193316,1.614976676,2.01100596
11,3117,3117,City of Westminster,Inner,0.604980445,43848.03679,119.727363,16.03792483,8.375838992,0.537954545,0.479539454,1.225314134,0.587482066
86,3419,3419,Southwark,Central,0.344275277,35999.54842,110.3918432,10.92694709,6.134252343,0.482745098,0.648656039,1.6301606,1.072853292
29,3327,3327,Wandsworth,Inner,0.743339311,33820.84895,107.922378,12.12861859,6.583453178,0.458057325,0.178685253,1.526396904,0.275570189
30,3328,3328,Lambeth,Inner,0.068508709,35832.12905,107.390199,13.64034638,7.22592673,0.488787879,0.31032581,1.636213728,0.510555446
122,3455,3455,Hackney,Central,0.023878436,32878.41455,105.7815706,10.86283912,6.3783964,0.469,0.839630884,1.525705142,1.28099056
101,3434,3434,Tower Hamlets,Central,0.17812457,28817.54259,99.32160557,9.190632825,5.40944735,0.480284091,4.090131376,1.494194195,6.101922757
83,3416,3416,City of Westminster,Central,0.349825212,28309.05707,92.03234211,9.815325642,5.484873348,0.511274131,0.954775255,1.449149206,1.383066448
45,3378,3378,City,Central,0.035465138,29726.41681,87.01911052,8.249636389,4.904930871,0.515333333,1.292457983,1.650897246,2.13456829
10,3116,3116,Camden,Inner,0.395397961,31311.7822,84.02478601,10.78686897,5.632945574,0.562957746,0.320603376,1.419163227,0.478136309
49,3382,3382,Lambeth,Central,0.407473278,28036.23154,83.37229192,9.977007455,5.21208062,0.508870968,0.499879116,1.394607434,0.697686903
32,3365,3365,City of Westminster,Central,0.004246913,12886.49084,66.30106313,7.101782479,5.069557511,0.536,2.244693183,1.39547702,3.131437884
21,3273,3273,City of Westminster,Inner,0.213539676,24950.16928,65.32690445,8.102995728,4.231482689,0.518348624,1.386289863,1.210056634,1.661522607
90,3423,3423,Islington,Central,0.086836539,18471.22739,63.52627509,7.018231357,4.105047914,0.536197183,0.917066031,1.623516867,1.48531722
54,3387,3387,Hackney,Central,0.004802064,14095.76036,56.99589892,6.104901343,3.765066996,0.49,0.886977523,1.574102891,1.396164179
88,3421,3421,Camden,Central,0.002643382,6660.232297,40.83500263,4.968828425,3.758167311,0.502,1.925566491,1.405548821,2.706171065
68,3401,3401,Southwark,Central,0.086727408,12697.74881,39.81672105,4.122617765,2.267439582,0.495555556,0.588704768,1.469469846,0.863066705
70,3403,3403,Tower Hamlets,Central,0.016169954,8509.20829,39.72664081,4.291097015,2.827006696,0.406666667,1.954410359,1.50742304,2.946005384
44,3377,3377,Southwark,Central,0.006079571,11378.85182,31.35880006,3.847458957,2.152921343,0.484,0.549722598,1.393724324,0.765378668
113,3446,3446,Islington,Central,0.007009639,987.8474416,9.820711061,0.964250935,0.759478528,0.5175,0.729565277,1.706692863,1.245047152
1,2833,2833,City of Westminster,Inner,0.000889537,0,2.504335837,0.289479713,0.275005791,0.49,0.347364898,1.060177286,0.372493634
