FID,CO2_km2,NOx_km2,PM10_km2,PM25_km2,Shape_Area,score_perc,accessibility,WDI,HSA
15,43909.11809,138.1294418,15.993652,9.336832664,0.033313319,0.508888889,1.003201228,1.241322393,1.284163625
64,52949.20201,154.1849426,17.33755079,9.30422235,0.639499554,0.507566138,0.61658019,1.57270201,0.975839402
103,51025.27352,157.9738491,16.22295519,9.071405296,0.304495693,0.5325,0.394679463,1.425968719,0.566676957
94,52607.81369,169.2371557,15.89342643,8.94454811,0.2853185,0.485690608,1.15838888,1.73591647,2.016721979
76,49637.29445,154.8599541,15.75130979,8.861908355,0.656500274,0.505686275,0.898443371,1.715959772,1.530803667
69,47671.23767,143.6196032,16.22557891,8.83516927,0.431369795,0.49693038,2.040172633,1.684166942,3.371262772
66,46777.091,257.5597395,13.72712456,8.814074501,0.014256065,0.522222222,0.866744873,1.213617933,1.055691519
11,43874.82271,119.8005021,16.04772208,8.380955629,0.6046111,0.537954545,0.479539454,1.225314134,0.587482066
16,45558.02719,137.0757999,14.08420779,7.38575902,0.764161712,0.531036789,0.306194898,1.260186736,0.377124979
2,42004.65448,139.7237057,13.4732362,7.353995339,0.998903236,0.558276762,0.616133303,0.774570084,0.421120386
30,35852.71657,107.4519005,13.6481835,7.230078413,0.06846937,0.488787879,0.31032581,1.636213728,0.510555446
60,38484.99578,122.2914926,12.16597785,6.948784234,0.154158664,0.482195122,1.824246186,1.571385852,2.883498166
51,46207.94164,126.4692024,12.74205884,6.901102592,0.063741711,0.580416667,1.370905203,1.71180709,2.34278799
29,33840.46902,107.9849857,12.13565461,6.587272354,0.742908337,0.458057325,0.178685253,1.526396904,0.275570189
122,32896.26988,105.8390175,10.86873842,6.381860323,0.023865475,0.469,0.839630884,1.525705142,1.28099056
86,36018.88016,110.4511235,10.93281486,6.137546433,0.344090501,0.482745098,0.648656039,1.6301606,1.072853292
10,31328.79783,84.07044724,10.79273084,5.636006662,0.395183208,0.562957746,0.320603376,1.419163227,0.478136309
83,28324.27127,92.08180325,9.820600714,5.487821097,0.349637306,0.511274131,0.954775255,1.449149206,1.383066448
101,28833.23234,99.37568134,9.195636674,5.412392529,0.178027643,0.480284091,4.090131376,1.494194195,6.101922757
92,34626.21249,120.2378252,8.635114758,5.329726205,0.016676424,0.485,1.243193316,1.614976676,2.01100596
49,28051.81854,83.41864351,9.982554265,5.214978325,0.407246865,0.508870968,0.499879116,1.394607434,0.697686903
32,12893.89469,66.33915604,7.105862823,5.072470228,0.004244474,0.536,2.244693183,1.39547702,3.131437884
45,29743.17898,87.06817897,8.25428821,4.907696655,0.035445151,0.515333333,1.292457983,1.650897246,2.13456829
21,24964.66616,65.36486153,8.107703837,4.233941322,0.213415674,0.518348624,1.386289863,1.210056634,1.661522607
90,18481.64275,63.56209561,7.022188722,4.107362628,0.086787602,0.536197183,0.917066031,1.623516867,1.48531722
54,14103.51501,57.02725473,6.108259866,3.767138307,0.004799424,0.49,0.886977523,1.574102891,1.396164179
88,6664.099013,40.85871027,4.971712983,3.760349195,0.002641848,0.502,1.925566491,1.405548821,2.706171065
70,8513.939635,39.7487299,4.293482977,2.828578585,0.016160968,0.406666667,1.954410359,1.50742304,2.946005384
68,12704.48009,39.83782855,4.124803232,2.268641585,0.086681457,0.495555556,0.588704768,1.469469846,0.863066705
44,11380.82432,31.36423605,3.848125949,2.153294628,0.006078517,0.484,0.549722598,1.393724324,0.765378668
113,988.4073966,9.826277808,0.964797504,0.759908977,0.007005668,0.5175,0.729565277,1.706692863,1.245047152
1,0,2.505810376,0.289650433,0.27516808,0.000889013,0.49,0.347364898,1.060177286,0.372493634
