FID,TARGET_FID,score_perc,accessibility,WDI,HSA
17453,81,0.45,0.9017701,1.591442093,1.435114895
17454,81,0.54,0.904475573,1.599189311,1.446427668
17455,81,0.45,0.907734023,1.563131641,1.418907773
17456,81,0.3,0.878180634,1.627913328,1.429503904
17457,81,0.58,0.906527473,1.583817828,1.435749536
17458,81,0.52,0.843458146,1.589599004,1.340760229
17459,81,0.61,0.893493696,1.583914013,1.415217186
17460,81,0.52,0.895359708,1.579300239,1.414061585
17461,81,0.45,0.806346688,1.569291289,1.265392833
17462,81,0.52,0.8115001,1.558183987,1.264466461
17463,81,0.45,0.831518865,1.638319255,1.362293368
17464,81,0.53,0.854577263,1.720436919,1.470240466
17465,81,0.5,0.82973659,1.704781014,1.414887289
17466,81,0.54,0.778992591,1.665445147,1.297145253
17467,81,0.53,0.864360624,1.716254702,1.483371458
17468,81,0.43,0.907625634,1.587967913,1.441280384
17469,81,0.34,0.930568312,1.609394677,1.497651688
17470,81,0.39,0.778388556,1.685114515,1.31166191
17471,81,0.39,0.777856837,1.692253113,1.316303172
17472,81,0.53,0.760161177,1.625830586,1.235893292
17473,81,0.48,0.795837936,1.564087513,1.244760178
17474,81,0.62,0.77091321,1.604970003,1.237292578
17475,81,0.54,0.759257928,1.604922349,1.218550017
17476,81,0.52,0.750123134,1.592736167,1.194748245
17477,81,0.58,0.727427066,1.613121813,1.173428468
17478,81,0.38,0.817181781,1.674495504,1.368385825
17479,81,0.56,0.764340322,1.6600488,1.268842234
17480,81,0.45,0.714810408,1.642037342,1.173745381
17481,81,0.6,0.83304201,1.594692552,1.328445889
17482,81,0.29,0.774600347,1.60432855,1.242713451
17483,81,0.35,0.859015128,1.606547347,1.380048476
17484,81,0.59,0.900972878,1.601935854,1.443300756
17485,81,0.51,0.873195112,1.585084862,1.384041767
17486,81,0.48,0.84983384,1.617387774,1.374510862
17487,81,0.48,0.938831864,1.596528519,1.498893726
17488,81,0.55,0.9730911,1.614660095,1.571211368
17489,81,0.45,0.952367687,1.604748937,1.528311034
17490,81,0.44,1.042159648,1.64818286,1.717741081
17491,81,0.53,0.62962442,1.588456411,1.000130946
17492,81,0.39,0.993472525,1.597011227,1.586586775
17493,81,0.35,1.00575572,1.590594194,1.599754526
17494,81,0.37,1.072933335,1.603469408,1.72041578
17495,81,0.43,1.021812931,1.602358473,1.637310607
17496,81,0.54,1.064261278,1.579237977,1.680721828
17497,81,0.56,1.115246732,1.581501479,1.763764356
17498,81,0.48,1.13530164,1.570264298,1.782695366
17499,81,0.52,0.857727668,1.589093705,1.363009637
17500,81,0.44,0.645633442,1.556621479,1.005006883
17501,81,0.41,0.637539838,1.553404493,0.990357248
17502,81,0.52,0.70245105,1.572550016,1.10463941
17503,81,0.44,0.580098339,1.597396799,0.92664723
17504,81,0.39,0.635276306,1.593382717,1.012238286
17505,81,0.51,0.709671299,1.565589759,1.111010154
17506,81,0.38,0.771304323,1.590718748,1.22668976
17507,81,0.48,0.724748625,1.603794035,1.162347522
17508,81,0.39,0.961195808,1.573721732,1.512654731
17509,81,0.38,0.869678265,1.597325477,1.388898638
17510,81,0.39,0.756328674,1.554592147,1.176042503
17511,81,0.45,0.798246094,1.547834872,1.235490317
17512,81,0.45,0.786566262,1.604639775,1.26215551
17513,81,0.52,0.767915429,1.549257827,1.190130899
17514,81,0.6,0.810412012,1.576956859,1.277984781
17515,81,0.38,1.06906487,1.579485158,1.688660101
17516,81,0.58,1.081214729,1.568334407,1.695010392
17517,81,0.54,0.750852763,1.583430795,1.188923388
17518,81,0.46,0.654609496,1.587195285,1.039476792
17519,81,0.55,0.738165206,1.582036436,1.167437526
17520,81,0.5,0.801755806,1.560064668,1.250621973
17521,81,0.48,0.762668046,1.650220068,1.258343347
17522,81,0.54,0.676313047,1.636026382,1.10719123
17523,81,0.51,0.765956961,1.634691819,1.252039937
